mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.3315291881561278,0.1462414950947469,0.10553793907165528,0.021079746521418995,,2,200,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7333333333333333,0.6896551724137931,0.6428571428571429,0.7272727272727273,0.5517241379310345,0.6689685027616064,0.06693010759330016,1
1.8770151615142823,0.18216450283767038,0.1171694278717041,0.047032878580137626,20,2,200,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7333333333333333,0.6896551724137931,0.6428571428571429,0.7272727272727273,0.5517241379310345,0.6689685027616064,0.06693010759330016,1
7.100985288619995,0.4578938800348824,0.2550401210784912,0.04374408960643874,20,2,800,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.6896551724137931,0.6896551724137931,0.6428571428571429,0.7058823529411765,0.5517241379310345,0.655954795711388,0.05621346863931689,3
8.935990142822266,0.6125664421488299,0.3618433475494385,0.08120588533152169,,2,800,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.6896551724137931,0.6896551724137931,0.6428571428571429,0.7058823529411765,0.5517241379310345,0.655954795711388,0.05621346863931689,3
1.9329485416412353,0.2280713861372977,0.13752570152282714,0.037051710766528315,10,2,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7333333333333333,0.6896551724137931,0.5925925925925926,0.7058823529411765,0.5517241379310345,0.654637517842386,0.06998005022261769,5
2.1451714038848877,0.06206291333142524,0.11392779350280761,0.03024117976856418,5,2,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",0.7096774193548387,0.6153846153846154,0.6428571428571429,0.6875,0.6,0.6510838355193195,0.04173970805820965,6
3.5394577026367187,0.26502765606697465,0.15980186462402343,0.05382256267995596,10,2,400,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.6896551724137931,0.6896551724137931,0.6153846153846154,0.7058823529411765,0.5517241379310345,0.6504602902168826,0.05852044659882236,7
4.539683246612549,0.3045506347387258,0.17862262725830078,0.055484658671277345,5,2,400,"{'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.6875,0.6666666666666666,0.5925925925925926,0.6875,0.6,0.6468518518518518,0.04203887253294121,8
2.301075887680054,0.23571234854036982,0.0821009635925293,0.050508410048088405,5,5,200,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7333333333333333,0.6666666666666666,0.5925925925925926,0.6875,0.5517241379310345,0.6463633461047253,0.06559893513631228,9
4.433531045913696,0.42553816223977237,0.18815650939941406,0.05607458697745747,,2,400,"{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.6896551724137931,0.6896551724137931,0.5925925925925926,0.7058823529411765,0.5517241379310345,0.6459018856584781,0.06186709230832656,10
3.402438592910767,0.20129809732244547,0.18531551361083984,0.06835858706173602,20,2,400,"{'clf__max_depth': 20, 'clf__min_samples_split': 2, 'clf__n_estimators': 400}",0.6896551724137931,0.6896551724137931,0.5925925925925926,0.7058823529411765,0.5517241379310345,0.6459018856584781,0.06186709230832656,10
8.434163904190063,0.5860553519907774,0.2504523754119873,0.08634021753896161,5,2,800,"{'clf__max_depth': 5, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.7096774193548387,0.6666666666666666,0.5925925925925926,0.6875,0.5517241379310345,0.6416321633090265,0.05974792748679312,12
7.326972341537475,0.5609705312136362,0.3674347400665283,0.07597798936531953,10,2,800,"{'clf__max_depth': 10, 'clf__min_samples_split': 2, 'clf__n_estimators': 800}",0.6666666666666666,0.6896551724137931,0.5925925925925926,0.7058823529411765,0.5517241379310345,0.6413041845090527,0.059243256667004814,13
3.8970204830169677,0.38043719024961914,0.1550048828125,0.0684559255330267,5,10,400,"{'clf__max_depth': 5, 'clf__min_samples_split': 10, 'clf__n_estimators': 400}",0.7096774193548387,0.5925925925925926,0.6428571428571429,0.6875,0.5714285714285714,0.6408111452466292,0.05303879588304957,14
4.3648824214935305,0.2401826628553501,0.19885544776916503,0.08618802946306764,5,5,400,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 400}",0.7096774193548387,0.6428571428571429,0.5925925925925926,0.6875,0.5517241379310345,0.6368702585471218,0.05849866618403841,15
1.9321627140045166,0.16911798175688433,0.1267648696899414,0.03845299249818478,10,5,200,"{'clf__max_depth': 10, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.8,0.6153846153846154,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.6272364672364673,0.10972554161634077,16
8.15311918258667,0.7005350820228607,0.2788244247436523,0.0969451673457376,5,5,800,"{'clf__max_depth': 5, 'clf__min_samples_split': 5, 'clf__n_estimators': 800}",0.7096774193548387,0.5714285714285714,0.5925925925925926,0.6875,0.5517241379310345,0.6225845442614075,0.06377590954658843,17
2.215600347518921,0.22251567611007272,0.1635218620300293,0.012386816585694174,,5,200,"{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",0.7586206896551724,0.6153846153846154,0.5925925925925926,0.6666666666666666,0.46153846153846156,0.6189606051675017,0.09723229771809924,18
