mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__gamma,param_clf__kernel,param_clf__probability,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.05164890289306641,0.01718495101194604,0.05201902389526367,0.021730990726275826,0.5,0.01,rbf,True,"{'clf__C': 0.5, 'clf__gamma': 0.01, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7,0.7027027027027027,0.717948717948718,0.7368421052631579,0.7368421052631579,0.7188671262355474,0.01590157386175754,1
0.057225275039672854,0.023932784996304267,0.028528404235839844,0.012971404798721959,1.0,0.01,rbf,True,"{'clf__C': 1.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7027027027027027,0.5882352941176471,0.75,0.7428571428571429,0.5806451612903226,0.6728880601935631,0.07403469443418997,2
0.05624809265136719,0.023148084289234552,0.039549732208251955,0.005350194088512153,2.0,0.01,rbf,True,"{'clf__C': 2.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7058823529411765,0.5161290322580645,0.7741935483870968,0.7272727272727273,0.6,0.6646955321718131,0.09365852004647952,3
0.054779672622680665,0.015413808576653953,0.044334697723388675,0.020348650920144783,0.5,0.1,rbf,True,"{'clf__C': 0.5, 'clf__gamma': 0.1, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7058823529411765,0.5333333333333333,0.75,0.7878787878787878,0.5333333333333333,0.6620855614973262,0.10828233074316414,4
0.04961915016174316,0.03308931877896554,0.0430201530456543,0.02158050229298122,1.0,0.1,rbf,True,"{'clf__C': 1.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf', 'clf__probability': True}",0.6875,0.5714285714285714,0.75,0.7096774193548387,0.5714285714285714,0.6580069124423963,0.07347656758730975,5
0.056192541122436525,0.023399847123934902,0.03141398429870605,0.020855920448224048,0.5,scale,rbf,True,"{'clf__C': 0.5, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'clf__probability': True}",0.7058823529411765,0.6,0.7647058823529411,0.6875,0.4827586206896552,0.6481693711967546,0.09812181180671224,6
0.03422837257385254,0.011540957931265397,0.021117639541625977,0.011796551827549729,4.0,0.01,rbf,True,"{'clf__C': 4.0, 'clf__gamma': 0.01, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7272727272727273,0.5517241379310345,0.6666666666666666,0.6875,0.6,0.6466327063740857,0.06285945257719922,7
0.07739400863647461,0.012460516197593833,0.031449174880981444,0.010951310675380006,2.0,0.1,rbf,True,"{'clf__C': 2.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7096774193548387,0.5925925925925926,0.6896551724137931,0.6875,0.5185185185185185,0.6395887405759486,0.07291254468725074,8
0.05198378562927246,0.01755591276267645,0.016438961029052734,0.004576125459255736,4.0,0.1,rbf,True,"{'clf__C': 4.0, 'clf__gamma': 0.1, 'clf__kernel': 'rbf', 'clf__probability': True}",0.7272727272727273,0.5384615384615384,0.6428571428571429,0.6666666666666666,0.6,0.635051615051615,0.06344041283858058,9
0.06931986808776855,0.015473913987268965,0.05969457626342774,0.009382184251463359,1.0,scale,rbf,True,"{'clf__C': 1.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'clf__probability': True}",0.7096774193548387,0.5925925925925926,0.6666666666666666,0.6666666666666666,0.5185185185185185,0.6308243727598566,0.06761866152764252,10
0.06417112350463867,0.026959733083973664,0.034154510498046874,0.01818149127791714,2.0,scale,rbf,True,"{'clf__C': 2.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'clf__probability': True}",0.7096774193548387,0.56,0.5925925925925926,0.6470588235294118,0.5517241379310345,0.6122105946815756,0.05913307808481133,11
0.062398862838745114,0.01582740868154949,0.017849016189575195,0.007612650694264975,4.0,scale,rbf,True,"{'clf__C': 4.0, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'clf__probability': True}",0.7096774193548387,0.6428571428571429,0.5925925925925926,0.6060606060606061,0.4444444444444444,0.599126441061925,0.08735123007564571,12
