mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__learning_rate,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.9726652145385742,0.2406632567155675,0.06397452354431152,0.0048490770728191745,0.2,2,200,"{'clf__learning_rate': 0.2, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.8125,0.6923076923076923,0.6666666666666666,0.7272727272727273,0.6206896551724138,0.7038873482839,0.06447465823857577,1
0.4465950489044189,0.07182012613649265,0.02980036735534668,0.023316097323785777,0.2,2,100,"{'clf__learning_rate': 0.2, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.8125,0.6923076923076923,0.6153846153846154,0.6875,0.6428571428571429,0.6901098901098901,0.06753912890391661,2
1.854085874557495,0.3171990180382187,0.025010108947753906,0.026042802996666368,0.03,4,200,"{'clf__learning_rate': 0.03, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.7586206896551724,0.6666666666666666,0.6666666666666666,0.6875,0.6428571428571429,0.6844622331691297,0.03968136240067059,3
1.4347649574279786,0.2099165046268575,0.05074315071105957,0.019982179089360168,0.03,3,200,"{'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 200}",0.75,0.6666666666666666,0.6666666666666666,0.6875,0.6428571428571429,0.6827380952380951,0.03647988915724895,4
2.072816038131714,0.2639819251763871,0.044909095764160155,0.02388217450453288,0.1,3,300,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 300}",0.7142857142857143,0.6666666666666666,0.7407407407407407,0.625,0.6666666666666666,0.6826719576719577,0.040521121791893676,5
1.0132075786590575,0.20813224450241521,0.048161554336547854,0.02579208941633043,0.1,2,200,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7741935483870968,0.6153846153846154,0.6666666666666666,0.6875,0.6428571428571429,0.6773203946591043,0.054083806591888675,6
1.0860856533050538,0.18775294280783333,0.06591110229492188,0.003100043192199916,0.03,4,100,"{'clf__learning_rate': 0.03, 'clf__max_depth': 4, 'clf__n_estimators': 100}",0.7741935483870968,0.7142857142857143,0.5833333333333334,0.6666666666666666,0.6206896551724138,0.6718337835690449,0.06746026761529689,7
2.923578405380249,0.24546351270630976,0.05251951217651367,0.022341144718162037,0.03,4,300,"{'clf__learning_rate': 0.03, 'clf__max_depth': 4, 'clf__n_estimators': 300}",0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6451612903225806,0.6428571428571429,0.6709370199692779,0.032810484585070895,8
0.7865848541259766,0.18771017617224098,0.04786219596862793,0.018897197896124342,0.03,3,100,"{'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7272727272727273,0.6206896551724138,0.6695924764890282,0.03389447846639631,9
1.596043586730957,0.19807497327074178,0.03869118690490723,0.022520133721650838,0.1,2,300,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7741935483870968,0.6153846153846154,0.6153846153846154,0.6875,0.6428571428571429,0.6670639844026941,0.05970236135163579,10
0.9898112773895263,0.18505313990592362,0.05768828392028809,0.02292813119436255,0.1,4,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 100}",0.6896551724137931,0.6428571428571429,0.6923076923076923,0.6451612903225806,0.6428571428571429,0.6625676881516703,0.023230124958125938,11
0.7948893547058106,0.16567507830426634,0.03397822380065918,0.0189032934677675,0.1,3,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.6896551724137931,0.6666666666666666,0.6428571428571429,0.6451612903225806,0.6666666666666666,0.6622013877853699,0.017077192127419257,12
0.5749837398529053,0.08628360537137793,0.04548444747924805,0.022741848596901423,0.1,2,100,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.75,0.6666666666666666,0.6428571428571429,0.7096774193548387,0.5384615384615384,0.6615325534680373,0.07164638444708217,13
1.0556766033172607,0.1568223881056812,0.04127955436706543,0.02513177614207557,0.03,2,200,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7647058823529411,0.7142857142857143,0.6428571428571429,0.6451612903225806,0.5185185185185185,0.6571057096673795,0.08294510286964095,14
0.8962363719940185,0.11869331346129444,0.035104990005493164,0.014190300556338058,0.2,4,100,"{'clf__learning_rate': 0.2, 'clf__max_depth': 4, 'clf__n_estimators': 100}",0.6666666666666666,0.7142857142857143,0.6153846153846154,0.6451612903225806,0.6428571428571429,0.656871085903344,0.033006151254344175,15
1.1364737510681153,0.05685273320460136,0.016342926025390624,0.0042654673737030175,0.2,4,200,"{'clf__learning_rate': 0.2, 'clf__max_depth': 4, 'clf__n_estimators': 200}",0.7333333333333333,0.7142857142857143,0.5384615384615384,0.6060606060606061,0.6896551724137931,0.656359272910997,0.0732378688755783,16
1.9595703601837158,0.2754489597775379,0.04060664176940918,0.02293262348840292,0.03,3,300,"{'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 300}",0.6666666666666666,0.6896551724137931,0.6206896551724138,0.6451612903225806,0.6428571428571429,0.6530059854865193,0.02340367734625153,17
